image_id,label,score
10015-simplified,superhero; cg artwork; fiction; animated cartoon; supernatural creature,0.953624; 0.84464186; 0.8383317; 0.74481845; 0.65604043
10016-simplified,personal computer; display device; software engineering,0.86766744; 0.817954; 0.7801774
10024-simplified,cloud; sunrise; terrain; sunset; sunlight; castle,0.9296566; 0.9139185; 0.8806728; 0.8669624; 0.86519885; 0.8197862
1012-simplified,lighting; lantern; column; still life photography; evening; night; light fixture; shadow,0.92508006; 0.8139723; 0.77806914; 0.7091444; 0.6148883; 0.5955278; 0.55097556; 0.51908374
10141-simplified,reptile; snout; tooth; liquid,0.9634191; 0.92924255; 0.9259692; 0.9211627
10156-simplified,tree house; jungle; animation,0.89011157; 0.6639453; 0.5678597
10196-simplified,unidentified flying object; child,0.7574801; 0.58672386
10208-simplified,orange; heat; fire; flame; gothic architecture; dawn,0.9085725; 0.62213707; 0.60466474; 0.5550742; 0.5391533; 0.5298271
10215-simplified,fictional character; technology; mecha; action figure; armour; animation; fiction,0.9031087; 0.87993723; 0.7818836; 0.7668937; 0.7479172; 0.6819738; 0.6123871
10229-simplified,cg artwork; fictional character; cloak; fiction,0.8420598; 0.81878185; 0.7277045; 0.5634582
1028-simplified,still life photography,0.5598538
10314-simplified,science,0.507576
10339-simplified,ocean; watercraft; aircraft; naval architecture,0.80472577; 0.7713768; 0.7080189; 0.6183721
1040-simplified,dog; snout; working animal; fur,0.9955314; 0.9048764; 0.82803404; 0.60650826
10402-simplified,orange; mushroom; evening,0.91744953; 0.87155855; 0.67015344
10409-simplified,reptile; terrestrial animal,0.9367995; 0.84695244
10435-simplified,photograph; standing; darkness; midnight; lens flare; backlighting; shadow,0.98799163; 0.9440835; 0.91908646; 0.7889383; 0.7599413; 0.68202883; 0.51426464
10464-simplified,arch; composite material; symmetry; daylighting; shadow; arcade,0.89831305; 0.87720066; 0.74020344; 0.71056294; 0.6498382; 0.6066379
1055-simplified,interior design; furniture; flooring; floor; ceiling; lighting; architecture; room,0.9801519; 0.97426724; 0.9721561; 0.96657455; 0.95608443; 0.9484837; 0.93655425; 0.8896012
10554-simplified,black hair; cg artwork; eyelash; fictional character; costume; digital compositing; film; earring,0.9119393; 0.8919073; 0.8762253; 0.65720296; 0.6536145; 0.6163701; 0.598645; 0.52971536
10624-simplified,night; darkness; graphics; graphic design; lens flare,0.8500732; 0.83455455; 0.7145071; 0.6011399; 0.5115696
10643-simplified,red; cg artwork; costume; cosplay; fiction; demon; goth subculture,0.9733319; 0.8047207; 0.76319396; 0.761635; 0.60273683; 0.5578187; 0.5564082
10688-simplified,dog; cg artwork; armour; cloak; animated cartoon; hero; fiction,0.8145932; 0.8011402; 0.73698586; 0.6697001; 0.62459445; 0.61130226; 0.5854627
10697-simplified,fictional character; animated cartoon; pc game; graphics,0.8130628; 0.70239973; 0.7017781; 0.58897805
10716-simplified,mountainous landforms; rock; sunrise; orange; sunset; reflection; sun,0.9715891; 0.96414745; 0.945696; 0.93879277; 0.9369464; 0.90957534; 0.9050898
1076-simplified,lips; facial expression; eyelash; masque; portrait photography; eye shadow,0.9847882; 0.9446822; 0.9020024; 0.68013984; 0.61676496; 0.52265936
10766-simplified,ingredient; recipe; fast food; finger food; cooking; culinary arts; condiment; comfort food,0.9519876; 0.8560066; 0.8368808; 0.7968456; 0.7478419; 0.73128855; 0.6998827; 0.695572
10785-simplified,book; still life photography,0.7867044; 0.6295401
1080-simplified,science,0.5485557
1081-simplified,string instrument; folk instrument,0.97653127; 0.89433277
10834-simplified,electricity; metropolis; neon sign; midnight,0.86472726; 0.81328636; 0.7754047; 0.74139637
10881-simplified,dinosaur; statue; extinction; monument; animation; fictional character; cryptid,0.96878594; 0.81669736; 0.8034915; 0.7113904; 0.6365078; 0.58035004; 0.507584
10926-simplified,umbrella; costume; photo shoot; model; portrait photography; red hair,0.8684943; 0.69867104; 0.69310766; 0.66220057; 0.5717136; 0.5651682
10982-simplified,goggles; beard; sunglasses; hero; animation,0.84919304; 0.7094009; 0.69573146; 0.56778836; 0.5176854
10984-simplified,cat; whiskers; snout; fur; paw,0.995749; 0.9568785; 0.91430825; 0.89626384; 0.82291967
